vrijeme;korisnickoIme;adresaRacunala;ipAdresaRacunala;nazivOS;verzijaVM;opisRada
1745172811667;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 0
1745172811730;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 1
1745172811743;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 2
1745172811755;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 3
1745172811767;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 4
1745172849430;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 0
1745172849443;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 1
1745172849455;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 2
1745172849473;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 3
1745172849486;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 4
1745172849497;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 5
1745173587461;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 0
1745173587516;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 1
1745173587530;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 2
1745173587541;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 3
1745173587555;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 4
1745173587569;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 5
1745173587585;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 6
1745173587601;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 7
1745173587613;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 8
1745173587631;ibeusan20;webKolegiji2025;127.0.1.1;Linux;23.0.2+7-58;Poruka br: 9
